YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,LYS,Lyon-Saint-Exupery Airport,France,45.725556,5.081111,112331,0.22099394254169297
2017,MAD,Adolfo Suarez Madrid-Barajas Airport,Spain,40.471926,-3.56264,387517,0.7623800164863594
2017,MAH,Menorca Airport (Mahon Airport),Spain,39.86259842,4.218649864,30024,0.059067596040912926
2017,MAN,Manchester Airport,United Kingdom,53.35369873,-2.274950027,203621,0.400592958081759
2017,MBX,Maribor Edvard Rusjan Airport,Slovenia,46.47990036,15.68610001,2036,0.0040055164381594295
2017,MJV,Murcia-San Javier Airport,Spain,37.77500153,-0.812389016,8654,0.017025412208168816
2017,MLA,Malta International Airport (Luqa Airport),Malta,35.857498,14.4775,50789,0.09991953554895838
2017,MLH,EuroAirport Basel Mulhouse Freiburg,France,47.59818,7.525496,78800,0.15502686410951036
2017,MLN,Melilla Airport,Spain,35.27980042,-2.956259966,7388,0.014534752183262214
2017,MPL,Montpellier-Mediterranee Airport (Frejorgues Airport),France,43.57619858,3.963010073,30728,0.06045260761874408
2017,MRS,Marseille Provence Airport,France,43.43927192,5.221424103,97473,0.19176311580388708
2017,MST,Maastricht Aachen Airport,Netherlands,50.911701,5.77014,8514,0.01674998376939557
2017,MUC,Munich Airport,Germany,48.353802,11.7861,401849,0.7905760192327744
2017,MXP,Milan-Malpensa A,Italy,45.6306,8.72811,178834,0.35182835299695653
2017,NAP,Naples International Airport,Italy,40.886002,14.2908,74113,0.14580591344858046
2017,NCE,Nice Cote d'Azur Airport,France,43.65840149,7.215869904,142623,0.28058878730825754
2017,NCY,Annecy - Haute-Savoie - Mont Blanc Airport,France,45.9308333,6.1063889,3206,0.006307311247907236
2017,NOC,Ireland West Airport Knock,Ireland,53.91030121,-8.818490028,6403,0.012596916381893334
2017,NTE,Nantes Atlantique Airport,France,47.15319824,-1.610730052,57667,0.1134509412766895
2017,NUE,Nuremberg Airport,Germany,49.498699,11.078056,53395,0.10504643920212316
2017,ODB,Cordoba Airport,Spain,37.84199905,-4.848879814,196,0.0003855998142825384
2017,OPO,Francisco de Sa Carneiro Airport,Portugal,41.24810028,-8.681389809,86718,0.1706043096681284
2017,ORK,Cork Airport,Ireland,51.84130096,-8.491109848,25265,0.04970499646861395
2017,ORY,Orly Airport,France,48.7233333,2.3794444,232139,0.45669773105986833
2017,OSL,Oslo Airport,Norway,60.19390106,11.10039997,251193,0.4941835415769065
2017,OSR,Leos Janacek Airport,Czech Republic,49.69630051,18.11109924,6663,0.01310842633961507
2017,OST,Ostend-Bruges International Airport,Belgium,51.19889832,2.862220049,6490,0.012768075483130992
2017,OTP,Henri Coanda International Airport,Romania,44.5711111,26.085,116254,0.22871184086531746
2017,OVD,Asturias Airport (Oviedo Airport),Spain,43.56359863,-6.034619808,12283,0.024164910810369488
2017,OZP,Moron Air Base,Spain,37.17490005,-5.615940094,4684,0.009215048622956173
2017,PDL,Joao Paulo II Airport,Portugal,37.74119949,-25.69790077,19442,0.03824914076163833
2017,PFO,Paphos International Airport,Cyprus,34.7179985,32.4856987,16994,0.033433077775089075
2017,PGF,Perpignan-Rivesaltes Airport,France,42.74039841,2.87067008,8891,0.017491673208092088
2017,PIS,Poitiers-Biard Airport,France,46.58769989,0.306665987,5341,0.010507594939199172
2017,PLQ,Palanga International Airport,Lithuania,55.97320175,21.09390068,4080,0.008026771644248759
2017,PMI,Palma de Mallorca Airport,Spain,39.55170059,2.738810062,208694,0.41057330429530653
2017,PNA,Pamplona Airport,Spain,42.77000046,-1.646329999,3537,0.006958502771006829
2017,POW,Portoroz Airport,Slovenia,45.47340012,13.61499977,1584,0.0031162760501201063
2017,POZ,Poznan???Lawica Airport,Poland,52.42100143,16.82629967,19444,0.038253075453620805
2017,PRG,Vaclav Havel Airport Prague,Czech Republic,50.1008,14.26,144013,0.2833233982360776
2017,PSA,Pisa International Airport (Galileo Galilei Airport),Italy,43.683899,10.3927,43035,0.08466473473290327
2017,PUF,Pau Pyrenees Airport,France,43.38000107,-0.41861099,11698,0.023014013405495585
2017,PVK,Aktion National Airport,Greece,38.92549896,20.76530075,5440,0.010702362192331678
2017,PXO,Porto Santo Airport,Portugal,33.07339859,-16.35000038,3553,0.006989980306866627
2017,RDO,Radom Airport,Poland,51.3891983,21.21330071,1142,0.0022467091219931577
